"","TDYLD"
"364",0.000597739378610296
"365",0.000648571334705084
"366",0.000696673226427524
"367",0.000711731309875674
"368",0.000555870113591483
"369",0.000706922591181991
"370",0.00071299096089561
"371",0.000706922772170993
"372",0.000714943776584764
"373",0.00057225377278125
"374",0.000708742371728466
"375",0.000726165330076523
"376",0.000696673321098018
"377",0.000770476869356607
"378",0.000823333844513607
"379",0.000796193226788589
"380",0.000772616303572837
"381",0.000607225379677834
"382",0.000731608025835495
"383",0.000711528825903196
"384",0.000740600441251793
"385",0.000728745802691888
"386",0.00070935915558179
"387",0.000515648030495308
"388",0.000682245561898442
"389",0.00070552723358408
"390",0.000728751770503022
"391",0.000746949480311843
"392",0.000608604013310643
"393",0.000794313916503864
"394",0.000822154552386989
"395",0.000823825102240106
"396",0.000826822687528095
"397",0.000835341636433284
"398",0.000831499916257972
"399",0.000849444156278523
"400",0.000857521936766803
"401",0.000659437877120972
"402",0.000817129979346687
"403",0.000818101676619998
"404",0.000799962403539523
"405",0.000804225571662487
"406",0.000661947409665631
"407",0.000826962436055956
"408",0.000821971953933742
"409",0.000834403118742388
"410",0.000840918709762217
"411",0.000825772494658095
"412",0.000657229607773369
"413",0.000849069971397665
"414",0.000800659667445025
"415",0.000791035527064388
"416",0.00070224457957524
"417",0.000586841526771797
"418",0.000611718656554183
"419",0.000739484394405299
"420",0.000568693358145245
"421",0.000708804753954295
"422",0.000663907813413633
"423",0.000676245672638132
"424",0.000663763733167233
"425",0.000522483835436072
"426",0.000653306948276811
"427",0.000652893954170342
"428",0.000650033701110608
"429",0.000645299001793331
"430",0.000651143158023837
"431",0.000556584248255554
"432",0.000435156787457869
"433",0.000512069809958993
"434",0.000490832706361966
"435",0.000507268832358632
"436",0.000515276097833084
"437",0.000483031237313858
"438",0.000478923334905179
"439",0.000373543065338877
"440",0.000474397819910877
"441",0.000459844418827959
"442",0.000452045887458841
"443",0.000449818723403217
"444",0.00036401440374223
"445",0.000466460508723898
"446",0.000475094341214621
"447",0.000486793732024982
"448",0.000494175748168235
"449",0.000494522742374937
"450",0.000480663822886473
"451",0.000475372905744509
"452",0.000473560821128816
"453",0.00037479649717298
"454",9.30204230298326e-05
"455",5.75446806254654e-05
"456",0.000330312631572793
"457",0.000301790256790113
"458",0.000249871590950468
"459",0.000317372897627788
"460",0.000313341859471405
"461",0.000299221017409979
"462",0.000268192927936006
"463",0.000219335233931028
"464",0.000218702877562871
"465",0.000267357976664995
"466",0.00024489417923057
"467",0.000228900943674892
"468",0.000228900699360102
"469",0.000187068204112961
"470",0.000186998423942875
"471",0.000227718671943267
"472",0.000218400980420475
"473",0.000183033969223922
"474",0.000229874281009845
"475",0.000230083079342247
"476",0.000236758656452452
"477",0.000189639869718095
"478",0.000241139545639202
"479",0.000239609898859738
"480",0.000243086764807554
"481",0.000241626492859748
"482",0.000192765332468703
"483",0.000241348170256783
"484",0.000234950585491722
"485",0.000231264990578461
"486",0.000227232130793675
"487",0.000236132673513412
"488",0.0002369671159419
"489",0.000237453817373723
"490",0.000233837962736461
"491",0.000188109859869057
"492",0.000234883364877758
"493",0.000235162377806741
"494",0.000229248476005139
"495",0.00023022192117983
"496",0.000184281349945081
"497",0.000233976984326478
"498",0.000233073005967199
"499",0.000232934065503621
"500",0.000232864166193947
"501",0.000228553069173909
"502",0.000228135906628735
"503",0.00022848361759209
"504",0.000231126074593968
"505",0.000183520519005942
"506",0.000231404051061812
"507",0.000225632481199778
"508",0.000226327938828819
"509",0.000217566784354917
"510",0.000218887889305908
"511",0.000180183115698451
"512",0.000227231784909021
"513",0.000208529102078581
"514",0.000176341482676312
"515",0.000132283571166125
"516",0.000167094330811635
"517",0.000135061604039199
"518",0.00016758082145607
"519",0.000166190473025463
"520",0.000161741905459589
"521",0.000120746325508847
"522",0.00012665447011706
"523",0.000158475117233881
"524",0.000159031117302755
"525",0.000125888747737779
"526",0.000157015468536192
"527",0.000158614171170246
"528",0.00016035180833196
"529",0.000129781185871813
"530",0.000167928284051211
"531",0.000162923536700665
"532",0.000156181300623004
"533",0.000158475129582003
"534",0.000160212676739935
"535",0.000158058005087724
"536",0.000161185918041262
"537",0.00012609575172462
"538",0.000153957118566472
"539",0.000151107252263749
"540",0.00014630877719668
"541",0.000133593211662175
"542",0.000146312135800519
"543",0.000128251982219663
"544",0.000155416783566453
"545",0.000144712818258341
"546",0.000121358793292892
"547",0.000114065134136476
"548",8.82906560331076e-05
"549",0.000121431281078888
"550",0.000116914228903253
"551",0.000119624707162869
"552",0.000123377140555103
"553",0.000121639851801136
"554",0.000128867364559859
"555",0.000128450306292383
"556",0.000133315102986753
"557",0.000104691044242822
"558",0.000126087312442902
"559",0.000119972002987634
"560",0.000117887224587054
"561",0.000112258666112641
"562",0.000118999207988635
"563",9.59350101101819e-05
"564",0.000124002713917104
"565",0.000130466368437832
"566",0.000129146209669972
"567",9.88539373221187e-05
"568",0.000124906082155318
"569",0.000102466333472773
"570",0.000129216345351013
"571",0.000123517002660334
"572",0.000117817733394032
